1.084,0.54201,2.71,9.7561,20.054,28.726,87.263,4.878,15.989,17.615,37.127,20.596,4.878,54.472,8.6721,29.268,5.6911,11.924,0,27.371,19.512,5.1491,14.092,8.9431,0.54201,38.211,13.279,11.382,17.615,0.81301,4.607,13.821,9.4851,7.5881,9.7561
0.63898,0.63898,6.3898,8.3067,20.128,27.796,73.163,2.5559,12.46,19.489,32.588,13.419,4.4728,49.521,11.182,26.518,6.0703,9.5847,0,20.128,17.252,3.1949,7.6677,4.7923,4.1534,35.144,12.46,8.6262,19.169,3.5144,1.278,14.058,9.9042,8.6262,4.4728
1.487,0,3.3457,7.4349,30.112,31.227,81.784,5.948,19.703,16.729,36.431,13.383,4.8327,48.327,12.268,26.766,6.3197,8.9219,0,23.42,16.357,6.6914,14.126,7.8067,2.2305,43.866,17.844,8.9219,15.613,1.8587,3.3457,14.498,14.498,7.8067,5.948
4.9793,2.0747,6.639,9.1286,31.95,38.174,91.286,8.2988,17.842,24.066,36.1,10.373,6.639,62.241,13.693,41.079,8.7137,4.1494,0,31.535,32.365,9.5436,12.863,12.863,2.0747,48.133,9.5436,13.278,25.311,2.9046,0,15.353,12.863,7.8838,3.7344
2.0576,0.41152,4.9383,4.1152,20.576,27.16,85.185,3.2922,17.695,16.049,27.984,15.638,6.9959,57.202,11.934,27.984,6.1728,10.7,0,24.691,21.399,5.7613,11.523,7.4074,4.1152,46.914,17.284,13.169,14.403,3.7037,3.2922,18.93,11.934,7.4074,9.465
1.9157,0,5.364,8.046,22.605,24.521,82.759,4.5977,14.559,18.008,32.567,10.345,6.1303,59.387,12.644,28.352,6.5134,6.1303,0,24.138,26.82,9.1954,13.41,6.5134,3.4483,39.847,13.027,8.4291,18.391,3.4483,3.0651,14.559,11.111,9.9617,3.4483
5.7522,1.7699,5.7522,6.6372,34.956,37.611,94.69,5.3097,20.354,20.796,25.221,9.7345,7.5221,63.274,11.062,37.168,7.5221,7.5221,0,20.796,28.761,6.1947,10.177,10.177,2.2124,45.133,13.274,13.717,18.142,2.2124,0.44248,17.699,11.504,8.4071,12.832
0,1.5385,5.1282,7.1795,22.564,25.641,86.154,3.5897,17.436,17.949,27.692,11.795,10.256,57.436,5.1282,29.231,3.5897,7.6923,0.51282,22.051,21.026,6.6667,11.795,5.641,5.1282,37.436,14.359,7.6923,17.949,4.1026,1.0256,8.7179,12.821,10.769,7.6923
2.8329,0.84986,3.966,7.0822,25.212,31.445,92.918,6.5156,20.113,18.13,30.312,13.314,6.7989,57.224,9.3484,31.445,8.4986,3.3994,0,18.697,19.263,5.6657,12.181,10.482,2.5496,40.227,11.898,12.748,18.414,1.6997,1.4164,15.297,11.048,9.3484,9.0652
3.5336,1.0601,4.5936,6.7138,28.269,33.569,94.7,7.7739,22.261,18.375,33.922,13.428,8.4806,60.424,9.894,33.569,8.8339,3.5336,0,21.201,22.261,6.3604,13.074,10.247,2.8269,41.696,12.367,14.488,19.081,2.1201,0.35336,15.548,11.307,9.1873,9.1873
0.93168,0.62112,4.6584,8.6957,21.429,24.224,83.851,5.5901,16.149,17.081,21.429,15.528,9.3168,56.522,9.3168,21.429,5.5901,12.733,0,18.323,20.497,5.5901,12.112,7.1429,4.3478,36.957,17.702,8.0745,16.149,3.7267,3.4161,11.18,12.733,8.6957,9.6273
0.34783,1.2174,4.8696,6.6087,16,24.348,71.478,3.3043,14.783,16.348,24.522,13.217,4.8696,47.478,9.5652,23.13,6.9565,11.304,0.86957,17.391,11.826,5.2174,7.1304,5.2174,1.913,30.087,10.609,6.087,15.478,1.913,4.8696,4.3478,12.348,10.435,6.7826
